City,Original_Locality_ID,Locality
Ahmedabad,Locality_1,Navrangpura
Ahmedabad,Locality_2,Satellite
Ahmedabad,Locality_3,Vastrapur
Ahmedabad,Locality_4,Bodakdev
Ahmedabad,Locality_5,Thaltej
Ahmedabad,Locality_6,Prahlad Nagar
Ahmedabad,Locality_7,Maninagar
Ahmedabad,Locality_8,Paldi
Ahmedabad,Locality_9,Naranpura
Ahmedabad,Locality_10,Chandkheda
Ahmedabad,Locality_11,Gota
Ahmedabad,Locality_12,Bopal
Ahmedabad,Locality_13,South Bopal
Ahmedabad,Locality_14,Shela
Ahmedabad,Locality_15,Shahibaug
Ahmedabad,Locality_16,Vastral
Ahmedabad,Locality_17,Nikol
Ahmedabad,Locality_18,Ghatlodia
Ahmedabad,Locality_19,Memnagar
Ahmedabad,Locality_20,Ambawadi
Ahmedabad,Locality_21,C.G. Road
Ahmedabad,Locality_22,Ellis Bridge
Ahmedabad,Locality_23,Motera
Ahmedabad,Locality_24,Ranip
Ahmedabad,Locality_25,Chandlodia
Ahmedabad,Locality_26,Navrangpura
Ahmedabad,Locality_27,Satellite
Ahmedabad,Locality_28,Vastrapur
Ahmedabad,Locality_29,Bodakdev
Ahmedabad,Locality_30,Thaltej
Ahmedabad,Locality_31,Prahlad Nagar
Ahmedabad,Locality_32,Maninagar
Ahmedabad,Locality_33,Paldi
Ahmedabad,Locality_34,Naranpura
Ahmedabad,Locality_35,Chandkheda
Ahmedabad,Locality_36,Gota
Ahmedabad,Locality_37,Bopal
Ahmedabad,Locality_38,South Bopal
Ahmedabad,Locality_39,Shela
Ahmedabad,Locality_40,Shahibaug
Ahmedabad,Locality_41,Vastral
Ahmedabad,Locality_42,Nikol
Ahmedabad,Locality_43,Ghatlodia
Ahmedabad,Locality_44,Memnagar
Ahmedabad,Locality_45,Ambawadi
Ahmedabad,Locality_46,C.G. Road
Ahmedabad,Locality_47,Ellis Bridge
Ahmedabad,Locality_48,Motera
Ahmedabad,Locality_49,Ranip
Ahmedabad,Locality_50,Chandlodia
Ahmedabad,Locality_51,Navrangpura
Ahmedabad,Locality_52,Satellite
Ahmedabad,Locality_53,Vastrapur
Ahmedabad,Locality_54,Bodakdev
Ahmedabad,Locality_55,Thaltej
Ahmedabad,Locality_56,Prahlad Nagar
Ahmedabad,Locality_57,Maninagar
Ahmedabad,Locality_58,Paldi
Ahmedabad,Locality_59,Naranpura
Ahmedabad,Locality_60,Chandkheda
Ahmedabad,Locality_61,Gota
Ahmedabad,Locality_62,Bopal
Ahmedabad,Locality_63,South Bopal
Ahmedabad,Locality_64,Shela
Ahmedabad,Locality_65,Shahibaug
Ahmedabad,Locality_66,Vastral
Ahmedabad,Locality_67,Nikol
Ahmedabad,Locality_68,Ghatlodia
Ahmedabad,Locality_69,Memnagar
Ahmedabad,Locality_70,Ambawadi
Ahmedabad,Locality_71,C.G. Road
Ahmedabad,Locality_72,Ellis Bridge
Ahmedabad,Locality_73,Motera
Ahmedabad,Locality_74,Ranip
Ahmedabad,Locality_75,Chandlodia
Ahmedabad,Locality_76,Navrangpura
Ahmedabad,Locality_77,Satellite
Ahmedabad,Locality_78,Vastrapur
Ahmedabad,Locality_79,Bodakdev
Ahmedabad,Locality_80,Thaltej
Ahmedabad,Locality_81,Prahlad Nagar
Ahmedabad,Locality_82,Maninagar
Ahmedabad,Locality_83,Paldi
Ahmedabad,Locality_84,Naranpura
Ahmedabad,Locality_85,Chandkheda
Ahmedabad,Locality_86,Gota
Ahmedabad,Locality_87,Bopal
Ahmedabad,Locality_88,South Bopal
Ahmedabad,Locality_89,Shela
Ahmedabad,Locality_90,Shahibaug
Ahmedabad,Locality_91,Vastral
Ahmedabad,Locality_92,Nikol
Ahmedabad,Locality_93,Ghatlodia
Ahmedabad,Locality_94,Memnagar
Ahmedabad,Locality_95,Ambawadi
Ahmedabad,Locality_96,C.G. Road
Ahmedabad,Locality_97,Ellis Bridge
Ahmedabad,Locality_98,Motera
Ahmedabad,Locality_99,Ranip
Ahmedabad,Locality_100,Chandlodia
Ahmedabad,Locality_101,Navrangpura
Ahmedabad,Locality_102,Satellite
Ahmedabad,Locality_103,Vastrapur
Ahmedabad,Locality_104,Bodakdev
Ahmedabad,Locality_105,Thaltej
Ahmedabad,Locality_106,Prahlad Nagar
Ahmedabad,Locality_107,Maninagar
Ahmedabad,Locality_108,Paldi
Ahmedabad,Locality_109,Naranpura
Ahmedabad,Locality_110,Chandkheda
Ahmedabad,Locality_111,Gota
Ahmedabad,Locality_112,Bopal
Ahmedabad,Locality_113,South Bopal
Ahmedabad,Locality_114,Shela
Ahmedabad,Locality_115,Shahibaug
Ahmedabad,Locality_116,Vastral
Ahmedabad,Locality_117,Nikol
Ahmedabad,Locality_118,Ghatlodia
Ahmedabad,Locality_119,Memnagar
Ahmedabad,Locality_120,Ambawadi
Ahmedabad,Locality_121,C.G. Road
Ahmedabad,Locality_122,Ellis Bridge
Ahmedabad,Locality_123,Motera
Ahmedabad,Locality_124,Ranip
Ahmedabad,Locality_125,Chandlodia
Ahmedabad,Locality_126,Navrangpura
Ahmedabad,Locality_127,Satellite
Ahmedabad,Locality_128,Vastrapur
Ahmedabad,Locality_129,Bodakdev
Ahmedabad,Locality_130,Thaltej
Ahmedabad,Locality_131,Prahlad Nagar
